Date,Price,Open,High,Low,LQ45_Vol,Change %
13/11/2020,867.2,863.57,869.31,859.24,1.90B,0.06%
12/11/2020,866.68,876.17,876.7,864.16,2.19B,-1.52%
11/11/2020,880.02,869.41,880.85,867.37,4.89B,1.86%
10/11/2020,863.97,858.6,865.53,853.01,4.55B,2.79%
09/11/2020,840.51,845.54,848.48,830.78,3.42B,0.67%
06/11/2020,834.9,820.56,835.6,812.8,2.78B,2.30%
05/11/2020,816.16,795.71,816.48,794.34,2.58B,4.48%
04/11/2020,781.13,797.94,800.94,781.13,1.96B,-1.72%
03/11/2020,794.77,793.01,795.09,789.51,2.09B,0.78%
02/11/2020,788.6,784.61,791.5,777.54,2.36B,-0.24%
27/10/2020,790.5,791.09,797.6,787.79,1.93B,-0.47%
26/10/2020,794.21,790.45,798.47,789.47,1.94B,0.56%
23/10/2020,789.82,794.15,794.36,786.02,2.36B,0.16%
22/10/2020,788.56,783.99,789.56,780.11,2.33B,0.17%
21/10/2020,787.2,790.95,793.79,785.23,2.78B,0.10%
20/10/2020,786.44,789.54,791.96,782.45,2.34B,-0.51%
19/10/2020,790.45,787.58,790.45,782.14,2.91B,0.89%
16/10/2020,783.45,784.8,786.21,775.06,1.92B,0.07%
15/10/2020,782.88,795.35,796.74,782.52,3.17B,-1.68%
14/10/2020,796.28,784.27,796.8,781.95,3.38B,1.62%
13/10/2020,783.55,777.31,783.97,769.28,1.96B,0.80%
12/10/2020,777.3,777.68,779.96,775.61,1.84B,0.72%
09/10/2020,771.77,769.82,773.13,767.65,1.45B,0.17%
08/10/2020,770.45,767.9,770.45,762.43,1.59B,0.83%
07/10/2020,764.09,758.44,766,755.79,1.42B,-0.01%
06/10/2020,764.16,766.77,769.62,763.26,1.55B,1.20%
05/10/2020,755.09,756.02,758.29,748,1.00B,0.56%
02/10/2020,750.86,761.44,761.54,741.51,1.56B,-1.34%
01/10/2020,761.05,745.17,761.05,744.96,1.45B,3.24%
