ticker,current_mkt_cap,mkt_cap_category,sector_name
LEAD,"202,480,816,400",Micro,Energy
SULI,"199,345,840,100",Micro,Materials
MIRA,"198,072,601,950",Micro,Industrials
RUIS,"197,120,000,000",Micro,Energy
APII,"190,409,520,000",Micro,Industrials
LION,"190,378,560,000",Micro,Industrials
EPAC,"184,990,400,000",Micro,Materials
NICK,"184,926,600,000",Micro,Real Estate
RONY,"183,750,000,000",Micro,#N/A N/A
HOTL,"177,500,072,600",Micro,Real Estate
TNCA,"177,088,800,000",Micro,Industrials
ASDM,"175,680,000,000",Micro,Financials
MICE,"175,200,000,000",Micro,Consumer Discretionary
BPTR,"175,150,000,000",Micro,Industrials
PANR,"171,600,000,000",Micro,Consumer Discretionary
POLY,"169,711,226,712",Micro,Consumer Discretionary
PURE,"169,147,325,115",Micro,Materials
RBMS,"167,341,408,038",Micro,Real Estate
OKAS,"165,997,211,038",Micro,Industrials
SDPC,"164,346,000,000",Micro,Health Care
TIRA,"163,464,000,000",Micro,Industrials
VINS,"160,663,097,760",Micro,Financials
PTIS,"158,447,606,400",Micro,Industrials
JMAS,"154,000,000,000",Micro,Financials
DSFI,"150,427,975,500",Micro,Consumer Staples
SINI,"149,674,954,100",Micro,Materials
BOSS,"148,400,000,000",Micro,Energy
ASJT,"146,400,000,000",Micro,Financials
LPLI,"146,304,100,375",Micro,Communication Services
KOIN,"146,145,716,068",Micro,Industrials
TMPO,"143,933,322,000",Micro,Communication Services
WOWS,"143,591,760,000",Micro,#N/A N/A
COCO,"142,312,535,034",Micro,Consumer Staples
JAST,"141,571,045,800",Micro,Communication Services
ALMI,"137,984,000,000",Micro,Materials
CANI,"136,684,160,000",Micro,Industrials
ATAP,"135,000,000,000",Micro,#N/A N/A
LMPI,"134,132,849,977",Micro,Consumer Discretionary
INCF,"133,768,453,245",Micro,Materials
KONI,"132,300,000,000",Micro,Consumer Discretionary
RIGS,"130,353,820,000",Micro,Industrials
BMSR,"129,830,402,688",Micro,Industrials
ALKA,"124,885,603,530",Micro,Materials
CSIS,"122,858,000,000",Micro,Industrials
CPRI,"121,668,750,250",Micro,Real Estate
SAFE,"119,338,132,328",Micro,Industrials
MBTO,"118,770,000,000",Micro,Consumer Staples
SBAT,"118,189,747,775",Micro,#N/A N/A
DEAL,"117,805,818,936",Micro,Industrials
MPOW,"116,013,581,526",Micro,Utilities
ARTA,"112,561,892,100",Micro,Consumer Discretionary
OASA,"109,731,600,000",Micro,Industrials
LPIN,"108,800,000,000",Micro,Consumer Discretionary
ENZO,"108,127,150,100",Micro,#N/A N/A
IKAN,"107,499,957,000",Micro,Consumer Staples
HADE,"106,000,000,000",Micro,Financials
ARKA,"100,000,000,000",Micro,Industrials
CAKK,"99,873,918,177",Micro,Industrials
LUCK,"99,489,199,960",Micro,Information Technology
FORZ,"99,200,494,350",Micro,Real Estate
BCIP,"98,664,171,225",Micro,Real Estate
PRAS,"98,146,086,920",Micro,Consumer Discretionary
ASBI,"97,548,212,160",Micro,Financials
PGLI,"96,624,000,000",Micro,Consumer Discretionary
WAPO,"94,310,156,436",Micro,Consumer Staples
DPNS,"93,378,646,464",Micro,Materials
PUDP,"92,276,800,000",Micro,Real Estate
SATU,"90,750,000,000",Micro,Real Estate
CTTH,"88,620,467,112",Micro,Materials
MRAT,"87,312,000,000",Micro,Consumer Staples
FORU,"85,135,992,000",Micro,Communication Services
BIKA,"84,103,760,000",Micro,Real Estate
ICON,"81,731,250,000",Micro,Real Estate
WEHA,"79,777,013,850",Micro,Industrials
PICO,"76,730,625,000",Micro,Materials
AYLS,"72,540,975,060",Micro,Industrials
ESTA,"72,450,000,000",Micro,#N/A N/A
LRNA,"66,150,004,158",Micro,Industrials
FITT,"66,000,000,550",Micro,Consumer Discretionary
FOOD,"64,350,000,000",Micro,Consumer Staples
KICI,"62,928,000,000",Micro,Consumer Discretionary
AIMS,"62,920,000,000",Micro,Industrials
TAMA,"60,000,000,300",Micro,Industrials
KPAS,"59,907,344,796",Micro,Consumer Staples
TRUK,"59,160,000,000",Micro,Industrials
KAYU,"58,520,000,000",Micro,Materials
KARW,"57,540,964,600",Micro,Industrials
SDMU,"56,761,250,000",Micro,Industrials
INTD,"56,223,660,000",Micro,Consumer Discretionary
RICY,"55,829,423,370",Micro,Consumer Discretionary
KPAL,"53,450,470,000",Micro,Industrials
PANI,"52,480,000,000",Micro,Materials
PKPK,"52,200,000,000",Micro,Energy
TIRT,"50,588,737,500",Micro,Materials
INDX,"50,360,062,620",Micro,Industrials
ESIP,"48,000,030,375",Micro,Materials
JAYA,"46,125,012,915",Micro,Industrials
BIMA,"43,180,475,836",Micro,Consumer Discretionary
YELO,"40,664,664,879",Micro,Consumer Discretionary
CNTB,"40,400,000,000",Micro,Consumer Discretionary
CNTX,"40,400,000,000",Micro,Consumer Discretionary
LMAS,"39,392,576,250",Micro,Information Technology
ASPI,"38,862,189,885",Micro,Real Estate
MTSM,"38,652,768,000",Micro,Real Estate
LMSH,"36,288,000,000",Micro,Materials
BAPA,"33,089,226,000",Micro,Real Estate
